#dat file

set start:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set dest:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param N:= 15;

param cost: 1    2     3    4    5    6    7    8    9    10   11   12   13   14   15:=
1 	  		2500 401   102  245  34   22   15   27   338  12   397  78   37   95   29
2	  		401  2500  501  179  369  411  414  374  85   391  5    363  426  494  388
3	  		102  501   2500 346  135  100  92   127  439  112  497  176  104  10   125
4	  		245  179   346  2500 214  256  259  219  95   236  175  205  271  339  233
5	  		34   369   135  214  2500 45   48   10   303  25   365  57   59   128  28
6	  		22   411   100  256  45   2500 13   37   348  23   406  98   52   93   30
7	  		15   414   92   259  48   13   2500 40   352  26   410  102  39   85   36
8	  		27   374   127  219  10   37   40   2500 309  17   370  62   54   120  21
9	  		338  85    439  95   303  348  352  309  2500 329  78   298  364  432  326
10	  		12   391   112  236  25   23   26   17   329  2500 387  78   47   106  20
11	  		397  5     497  175  365  406  410  370  78   387  2500 359  422  490  384
12	  		78   363   176  205  57   98   102  62   298  78   359  2500 75   170  72
13	  		37   426   104  271  59   52   39   54   364  47   422  75   2500 99   63
14	  		95   494   10   339  128  93   85   120  432  106  490  170  99   2500 118
15 	  		29   388   125  233  28   30   36   21   326  20   384  72   63   118  2500;
